START	END
993031302	993031302
993031414	993031414
993032254	993032254
993032350	993032350
993032370	993032370
993032674	993032674
993035714	993035714
993070120	993070120
993071284	993071284
993072026	993072026
993094400	993098751
993099008	993099775
993342464	993346559
993415168	993427455
993656402	993656402
993917166	993917166
994025472	994028291
994028293	994035684
994035686	994036305
994036307	994036454
994036456	994050047
996882688	996888575
996892672	996892840
996892842	996896893
996896895	996897153
996897155	996897161
996897163	996897265
996897267	996897295
996897297	996897300
996897302	996897333
996897335	996897336
996897338	996897341
996897343	996897405
996897407	996897409
996897411	996897426
996897428	996897452
996897454	996897694
996897696	996897722
996897724	996897724
996897726	996897740
996897744	996897745
996897748	996897756
996897758	996898250
996898252	996900239
996900241	996900241
996900243	996900737
996900739	996900740
996900742	996900743
996900745	996900745
996900747	996900753
996900755	996900758
996900760	996900769
996900772	996900780
996900783	996900797
996900799	996900803
996900805	996900805
996900808	996900816
996900818	996900845
996900847	996900850
996900852	996900863
997064704	997064959
997130240	997134335
997135616	997195775
1000013824	1000038602
1000038604	1000070403
1000070405	1000079359
1002373120	1002375239
1002375241	1002388776
1002388779	1002388787
1002388789	1002391654
1002391656	1002395095
1002395097	1002395428
1002395430	1002398759
1002398761	1002399722
1002399727	1002404913
1002404915	1002405320
1002405322	1002405887
1006632960	1006633061
1006633063	1006633089
1006633091	1006633093
1006633095	1006633097
1006633099	1006633101
1006633103	1006633109
1006633111	1006633129
1006633131	1006633153
1006633155	1006633169
1006633171	1006633173
1006633175	1006633177
1006633179	1006633181
1006633183	1006633209
1006633211	1006633213
1006633215	1006633368
1006633370	1006634107
1006634109	1006634577
1006634579	1006635265
1006635267	1006635273
1006635275	1006635277
1006635279	1006635333
1006635335	1006635407
1006635409	1006635409
1006635411	1006635413
1006635415	1006635493
1006635495	1006636041
1006636043	1006636741
1006636743	1006636744
1006636746	1006637096
1006637098	1006637825
1006637827	1006638614
1006638616	1006638866
1006638868	1006639201
1006639203	1006639221
1006639223	1006639638
1006639640	1006639661
1006639663	1006639665
1006639667	1006639669
1006639671	1006639677
1006639679	1006639713
1006639715	1006639832
1006639834	1006639839
1006639841	1006639841
1006639846	1006639846
1006639848	1006639850
1006639854	1006639863
1006639866	1006640385
1006640387	1006640905
1006640907	1006640929
1006640931	1006641781
1006641783	1006641805
1006641807	1006642289
1006642291	1006642949
1006642951	1006642969
1006642971	1006642997
1006642999	1006643001
1006643003	1006643465
1006643467	1006643489
1006643491	1006644265
1006644267	1006646721
1006646723	1006647045
1006647047	1006647049
1006647051	1006647053
1006647055	1006647057
1006647059	1006647061
1006647063	1006647065
1006647067	1006647077
1006647079	1006647085
1006647087	1006647090
1006647092	1006647105
1006647107	1006647173
1006647175	1006647189
1006647191	1006647197
1006647199	1006648469
1006648471	1006648517
1006648519	1006649250
1006649253	1006651133
1006651135	1006654742
1006654744	1006657159
1006657163	1006659621
1006659623	1006659697
1006659699	1006659787
1006659789	1006659841
1006659843	1006667848
1006667850	1006668854
1006668857	1006668860
1006668862	1006668874
1006668876	1006668878
1006668881	1006668906
1006668908	1006669062
1006669064	1006674045
1006674047	1006684150
1006684152	1006702713
1006702715	1006741637
1006741639	1006741668
1006741671	1006744771
1006744774	1006762512
1006762514	1006763181
1006763183	1006768197
1006768199	1006768341
1006768343	1006768433
1006768435	1006768553
1006768556	1006768597
1006768599	1006768604
1006768606	1006768805
1006768807	1006768825
1006768827	1006769673
1006769675	1006769697
1006769699	1006769725
1006769727	1006770025
1006770027	1006773553
1006773555	1006773593
1006773595	1006773618
1006773620	1006773641
1006773643	1006774073
1006774075	1006774137
1006774139	1006774141
1006774143	1006774445
1006774447	1006774477
1006774479	1006774561
1006774563	1006774630
1006774632	1006774657
1006774659	1006774665
1006774667	1006774677
1006774679	1006775157
1006775159	1006775861
1006775863	1006775873
1006775875	1006775881
1006775883	1006775917
1006775919	1006776029
1006776031	1006776177
1006776179	1006776493
1006776495	1006776937
1006776939	1006777921
1006777923	1006777933
1006777935	1006778005
1006778007	1006778017
1006778019	1006778417
1006778419	1006778489
1006778491	1006788657
1006788659	1006788677
1006788679	1006788737
1006788741	1006788745
1006788747	1006788857
1006788859	1006789145
1006789147	1006789210
1006789212	1006789257
1006789259	1006789365
1006789367	1006789436
1006789438	1006791397
1006791399	1006792837
1006792839	1006794005
1006794007	1006795069
1006795071	1006798137
1006798139	1006798249
1006798251	1006798497
1006798499	1006798549
1006798551	1006798565
1006798567	1006798793
1006798795	1006801449
1006801451	1006801649
1006801651	1006801665
1006801667	1006801689
1006801692	1006801717
1006801719	1006805592
1006805594	1006806329
1006806331	1006806416
1006806418	1006806418
1006806420	1006806425
1006806427	1006806427
1006806429	1006806525
1006806527	1006806553
1006806555	1006806658
1006806661	1006806737
1006806739	1006806849
1006806855	1006808541
1006808543	1006815385
1006815387	1006816265
1006816267	1006816369
1006816371	1006816738
1006816748	1006819839
1006819872	1006820901
1006820903	1006821445
1006821447	1006821717
1006821719	1006824013
1006824015	1006824058
1006824060	1006824065
1006824067	1006824101
1006824103	1006827457
1006827459	1006827521
1006827523	1006827529
1006827531	1006827775
1006828032	1006835505
1006835507	1006846485
1006846487	1006896670
1006896672	1006899205
1006899207	1006899342
1006899344	1006900008
1006900010	1006901005
1006901007	1006901041
1006901043	1006901513
1006901515	1006902057
1006902059	1006902099
1006902101	1006902293
1006902295	1006902317
1006902319	1006904641
1006904643	1006906637
1006906639	1006915836
1006915838	1006927967
1006927969	1006928932
1006928934	1006929173
1006929175	1006944923
1006944925	1006945003
1006945005	1006948150
1006948152	1006948236
1006948238	1006952236
1006952238	1006960649
1006960651	1006960660
1006960662	1006960662
1006960664	1006962433
1006962435	1006962445
1006962447	1006962457
1006962459	1006963490
1006963492	1006964481
1006964483	1006964485
1006964487	1006964489
1006964491	1006964497
1006964499	1006964525
1006964527	1006964529
1006964531	1006964557
1006964559	1006964561
1006964563	1006964721
1006964723	1006966529
1006966531	1006966537
1006966539	1006966541
1006966543	1006966545
1006966547	1006966557
1006966559	1006966561
1006966563	1006966565
1006966567	1006966573
1006966575	1006966577
1006966579	1006966581
1006966583	1006966585
1006966587	1006966589
1006966591	1006966601
1006966603	1006971567
1006971569	1006974629
1006974631	1006976355
1006976357	1006977293
1006977295	1006977393
1006977395	1006977397
1006977399	1006977405
1006977407	1006977413
1006977415	1006977445
1006977447	1006977449
1006977451	1006977453
1006977455	1006977465
1006977467	1006977469
1006977471	1006977489
1006977491	1006978413
1006978415	1006978857
1006978859	1006979586
1006979589	1006979596
1006979598	1006979598
1006979600	1006979602
1006979605	1006979609
1006979611	1006979614
1006979617	1006979628
1006979630	1006979637
1006979639	1006979640
1006979643	1006979739
1006979741	1006979743
1006979745	1006979792
1006979794	1006984724
1006984726	1006987515
1006987517	1007005030
1007005032	1007006221
1007006223	1007031565
1007031567	1007060787
1007060789	1007062237
1007062239	1007078416
1007078418	1007078424
1007078426	1007078675
1007078677	1007080007
1007080009	1007080009
1007080011	1007080099
1007080101	1007080218
1007080220	1007080461
1007080463	1007080466
1007080468	1007080468
1007080470	1007080471
1007080474	1007080474
1007080478	1007080478
1007080485	1007080489
1007080491	1007080493
1007080495	1007080497
1007080499	1007080584
1007080586	1007080586
1007080588	1007081235
1007081237	1007081905
1007081907	1007081999
1007082001	1007082003
1007082005	1007082014
1007082016	1007082249
1007082251	1007082308
1007082310	1007082313
1007082316	1007082316
1007082319	1007082319
1007082321	1007082321
1007082324	1007082755
1007082757	1007082757
1007082759	1007082759
1007082762	1007082836
1007082838	1007083270
1007083272	1007083521
1007083523	1007084321
1007084323	1007084363
1007084365	1007084623
1007084625	1007085096
1007085098	1007085102
1007085104	1007085345
1007085349	1007085353
1007085355	1007085360
1007085365	1007085367
1007085371	1007085371
1007085374	1007085377
1007085379	1007085380
1007085382	1007085384
1007085386	1007085388
1007085390	1007085390
1007085392	1007085402
1007085404	1007085410
1007085412	1007085412
1007085414	1007085441
1007085443	1007085481
1007085483	1007086098
1007086100	1007086340
1007086343	1007086343
1007086350	1007086351
1007086353	1007086851
1007086854	1007086860
1007086862	1007086862
1007086864	1007086864
1007086866	1007086867
1007086869	1007086872
1007086874	1007086875
1007086878	1007086878
1007086880	1007086880
1007086882	1007086883
1007086885	1007086885
1007086888	1007086888
1007086891	1007086894
1007086896	1007086896
1007086899	1007086906
1007086909	1007087113
1007087115	1007087367
1007087369	1007087970
1007087972	1007087973
1007087975	1007087982
1007087984	1007087985
1007087987	1007087996
1007087998	1007087998
1007088000	1007088003
